,predictions,file_names
0,happy,03-01-06-01-02-02-01.wav
1,happy,03-01-03-01-02-01-21.wav
2,happy,03-01-07-01-02-02-04.wav
3,calm,03-01-02-02-01-02-24.wav
4,disgust,03-01-07-01-02-02-19.wav
5,fearful,03-01-06-01-01-01-07.wav
6,disgust,03-01-07-01-01-01-16.wav
7,calm,03-01-02-01-02-02-06.wav
8,fearful,03-01-06-01-01-02-07.wav
9,fearful,03-01-06-02-01-01-15.wav
10,calm,03-01-02-02-02-02-07.wav
11,fearful,03-01-06-01-02-02-19.wav
12,happy,03-01-06-02-02-02-05.wav
13,fearful,03-01-06-01-01-01-14.wav
14,fearful,03-01-06-01-02-01-15.wav
15,happy,03-01-03-02-02-01-06.wav
16,calm,03-01-02-01-01-02-16.wav
17,disgust,03-01-07-01-01-01-13.wav
18,fearful,03-01-03-02-02-02-24.wav
19,calm,03-01-02-01-02-02-19.wav
20,calm,03-01-02-02-01-02-09.wav
21,calm,03-01-02-01-01-02-07.wav
22,happy,03-01-03-01-02-01-13.wav
23,calm,03-01-02-01-02-01-18.wav
24,calm,03-01-02-02-02-02-03.wav
25,calm,03-01-02-02-01-01-11.wav
26,disgust,03-01-03-01-02-02-20.wav
27,happy,03-01-03-02-01-02-06.wav
28,disgust,03-01-06-01-01-02-11.wav
29,calm,03-01-03-01-02-01-18.wav
30,fearful,03-01-06-01-01-01-15.wav
31,happy,03-01-07-02-01-02-08.wav
32,disgust,03-01-07-02-01-02-23.wav
33,happy,03-01-03-01-02-02-10.wav
34,fearful,03-01-06-01-01-01-23.wav
35,disgust,03-01-07-02-02-01-18.wav
36,fearful,03-01-06-02-02-01-22.wav
37,disgust,03-01-07-02-01-01-21.wav
38,disgust,03-01-07-01-01-02-10.wav
39,fearful,03-01-06-02-01-01-01.wav
40,disgust,03-01-07-02-01-02-17.wav
41,calm,03-01-02-02-02-02-17.wav
42,happy,03-01-03-01-01-01-04.wav
43,fearful,03-01-06-02-02-01-24.wav
44,fearful,03-01-06-02-02-01-10.wav
45,calm,03-01-02-02-01-02-12.wav
46,fearful,03-01-06-02-01-02-01.wav
47,calm,03-01-07-01-01-01-10.wav
48,calm,03-01-02-02-01-01-02.wav
49,calm,03-01-02-01-01-02-24.wav
50,happy,03-01-06-02-02-02-14.wav
51,happy,03-01-03-02-02-02-14.wav
52,happy,03-01-03-01-01-01-20.wav
53,calm,03-01-02-02-02-01-05.wav
54,fearful,03-01-07-01-01-02-17.wav
55,disgust,03-01-07-02-01-01-20.wav
56,disgust,03-01-03-02-02-02-20.wav
57,calm,03-01-02-01-01-02-17.wav
58,happy,03-01-03-01-01-02-13.wav
59,calm,03-01-02-01-01-02-14.wav
60,disgust,03-01-02-02-02-01-16.wav
61,happy,03-01-03-02-01-02-10.wav
62,disgust,03-01-07-02-01-02-03.wav
63,fearful,03-01-06-01-02-01-19.wav
64,calm,03-01-02-02-02-02-22.wav
65,happy,03-01-06-02-01-02-11.wav
66,calm,03-01-02-01-01-01-04.wav
67,happy,03-01-03-02-02-01-14.wav
68,fearful,03-01-06-01-01-02-02.wav
69,fearful,03-01-06-01-01-02-17.wav
70,fearful,03-01-07-02-02-01-04.wav
71,calm,03-01-02-01-02-01-07.wav
72,calm,03-01-02-01-02-02-16.wav
73,calm,03-01-02-02-01-01-21.wav
74,happy,03-01-07-02-02-02-15.wav
75,calm,03-01-02-01-02-01-13.wav
76,disgust,03-01-03-01-01-01-22.wav
77,disgust,03-01-07-02-01-01-10.wav
78,happy,03-01-03-01-02-01-20.wav
79,disgust,03-01-07-01-02-02-15.wav
80,fearful,03-01-03-01-02-02-17.wav
81,happy,03-01-03-01-02-01-17.wav
82,fearful,03-01-06-02-01-01-10.wav
83,fearful,03-01-06-02-02-01-17.wav
84,disgust,03-01-07-02-02-02-20.wav
85,fearful,03-01-02-01-02-02-09.wav
86,disgust,03-01-06-01-01-02-15.wav
87,fearful,03-01-07-02-01-02-20.wav
88,disgust,03-01-07-01-01-02-06.wav
89,fearful,03-01-06-02-02-02-11.wav
90,calm,03-01-02-01-02-01-15.wav
91,fearful,03-01-03-02-02-02-17.wav
92,happy,03-01-03-01-01-01-01.wav
93,happy,03-01-03-02-01-01-21.wav
94,calm,03-01-02-01-02-02-18.wav
95,calm,03-01-02-02-02-02-14.wav
96,fearful,03-01-03-01-01-01-03.wav
97,disgust,03-01-07-02-02-01-17.wav
98,disgust,03-01-07-02-01-02-13.wav
99,happy,03-01-03-01-02-02-18.wav
100,disgust,03-01-07-01-02-01-05.wav
101,fearful,03-01-07-02-02-01-10.wav
102,happy,03-01-02-01-01-02-04.wav
103,fearful,03-01-06-02-01-01-19.wav
104,calm,03-01-02-02-02-01-09.wav
105,disgust,03-01-07-02-02-01-24.wav
106,calm,03-01-02-01-02-02-20.wav
107,calm,03-01-02-01-01-01-11.wav
108,calm,03-01-02-02-02-02-11.wav
109,calm,03-01-02-01-01-02-22.wav
110,fearful,03-01-06-01-02-02-03.wav
111,happy,03-01-07-02-01-02-12.wav
112,happy,03-01-03-02-01-01-02.wav
113,calm,03-01-02-02-02-02-09.wav
114,disgust,03-01-07-02-02-02-11.wav
115,calm,03-01-02-02-01-02-11.wav
116,calm,03-01-02-02-01-02-13.wav
117,calm,03-01-02-01-01-02-21.wav
118,disgust,03-01-02-01-02-01-23.wav
119,happy,03-01-03-02-01-01-24.wav
120,happy,03-01-03-02-01-01-01.wav
121,fearful,03-01-03-02-01-02-18.wav
122,calm,03-01-02-01-02-01-21.wav
123,calm,03-01-02-01-01-02-18.wav
124,calm,03-01-02-01-02-01-08.wav
125,calm,03-01-02-02-01-01-04.wav
126,fearful,03-01-06-02-02-02-17.wav
127,disgust,03-01-02-01-01-01-17.wav
128,disgust,03-01-07-01-02-01-20.wav
129,fearful,03-01-06-01-02-01-18.wav
130,fearful,03-01-06-02-02-01-08.wav
131,happy,03-01-03-01-01-02-18.wav
132,fearful,03-01-06-01-02-02-07.wav
133,disgust,03-01-07-01-02-02-18.wav
134,happy,03-01-03-01-02-01-16.wav
135,disgust,03-01-07-01-01-02-23.wav
136,disgust,03-01-07-01-01-01-20.wav
137,happy,03-01-02-01-01-01-07.wav
138,disgust,03-01-07-02-02-01-16.wav
139,happy,03-01-03-02-01-02-05.wav
140,disgust,03-01-03-02-01-02-11.wav
141,disgust,03-01-07-01-02-01-04.wav
142,fearful,03-01-07-02-01-02-04.wav
143,calm,03-01-02-02-01-02-05.wav
144,fearful,03-01-06-01-02-02-06.wav
145,happy,03-01-03-02-02-01-08.wav
146,fearful,03-01-06-02-02-02-09.wav
147,fearful,03-01-06-02-02-02-21.wav
148,calm,03-01-07-01-01-02-20.wav
149,disgust,03-01-07-01-01-01-08.wav
150,disgust,03-01-07-01-01-01-11.wav
151,fearful,03-01-06-01-02-02-23.wav
152,calm,03-01-07-01-02-02-08.wav
153,calm,03-01-02-01-01-02-09.wav
154,fearful,03-01-06-01-02-02-21.wav
155,fearful,03-01-06-01-02-01-17.wav
156,happy,03-01-06-02-01-02-15.wav
157,happy,03-01-03-01-01-02-06.wav
158,fearful,03-01-06-01-02-01-22.wav
159,happy,03-01-03-01-02-01-19.wav
160,calm,03-01-02-01-02-02-23.wav
161,calm,03-01-02-01-02-01-24.wav
162,fearful,03-01-06-02-02-02-03.wav
163,calm,03-01-02-01-01-01-05.wav
164,calm,03-01-02-01-01-01-03.wav
165,calm,03-01-06-01-02-02-09.wav
166,happy,03-01-03-01-02-02-08.wav
167,happy,03-01-03-02-02-02-06.wav
168,fearful,03-01-06-02-02-01-21.wav
169,happy,03-01-03-01-02-02-04.wav
170,fearful,03-01-06-02-02-02-08.wav
171,fearful,03-01-06-02-01-02-18.wav
172,disgust,03-01-07-02-01-02-07.wav
173,fearful,03-01-06-01-02-01-11.wav
174,calm,03-01-02-01-02-02-01.wav
175,calm,03-01-02-02-01-01-17.wav
176,happy,03-01-06-01-01-01-01.wav
177,fearful,03-01-07-01-02-01-07.wav
178,calm,03-01-03-01-01-01-09.wav
179,disgust,03-01-06-01-01-01-11.wav
180,fearful,03-01-06-02-01-02-08.wav
181,fearful,03-01-06-02-01-02-24.wav
182,happy,03-01-03-01-01-01-06.wav
183,fearful,03-01-06-02-02-01-19.wav
184,fearful,03-01-06-02-01-01-02.wav
185,fearful,03-01-06-02-02-02-07.wav
186,disgust,03-01-07-02-02-02-07.wav
187,disgust,03-01-07-01-02-02-14.wav
188,happy,03-01-03-02-02-02-02.wav
189,happy,03-01-06-02-01-01-14.wav
190,disgust,03-01-07-01-01-02-02.wav
191,calm,03-01-02-02-02-01-22.wav
